CODEX_BUILDBARRELCHAIR_DESC	Sedie a botte del Villaggio di Earlwood.
CODEX_BUILDTENT_DESC	Una tenda da spedizione logora per allestire un campo. Usa per dormire. <x1/> Conferisce il Bonus Ben Riposato: <x2/> Bonus XP dai mostri: 10% <x3/> Decadimento di Fame e Sete ridotto: 5% <x4/> Durata: 10 minuti
CODEX_BUILDTREANTSTOOL_DESC	Un sedile basso intagliato nel legno di Treant. Freme ancora di vita.
CODEX_CAT_BUILDING_BLURB	Tutto ciò che puoi costruire sul tuo terreno. Muri, laboratori, comodità e curiosità.
CODEX_CAT_BUILDING_NAME	Costruzioni
CODEX_CAT_CRAFTING_BLURB	Ogni ricetta che puoi apprendere. Cosa produce, quanto costa e cosa permette di ottenere.
CODEX_CAT_DAMAGETYPES_BLURB	I danni nel mondo appartengono a diversi tipi, ciascuno contrastato, penetrato e amplificato separatamente.
CODEX_CAT_DAMAGETYPES_NAME	Tipi di danno
CODEX_CAT_DEFENCE_BLURB	La Difesa comprende tutto ciò che riduce il danno subito. Il danno in arrivo viene ridotto da una formula:<x1/><x2/><x3/><x4/>Riduzione % = Difesa × 100 / (Difesa + 100) - Penetrazione dell'attaccante<x5/><x6/><x7/><x8/>Difesa = (Livello + Bonus fissi) × (1 + Bonus %)<x9/><x10/><x11/><x12/>Difesa - Armatura contro danni da Taglio, Perforanti e Contundenti; Resistenza contro ogni elemento, calcolata separatamente.<x13/><x14/>Livello - ogni personaggio e mostro ha una difesa di base pari al proprio livello.<x15/><x16/>Bonus fissi - Armatura e Resistenza da equipaggiamento, Albero delle abilità ed effetti, sommate fra loro.<x17/><x18/>Bonus % - aumenti percentuali sommati fra loro e applicati una sola volta.<x19/><x20/>Penetrazione - la statistica di Penetrazione corrispondente dell'attaccante, sottratta alla tua riduzione.<x21/><x22/><x23/><x24/>Rendimenti decrescenti: 100 Difesa dimezza il danno subito e ogni punto successivo incide meno del precedente. Aumentarla aiuta sempre, ma non rende immuni. Ogni colpo infligge almeno 1 danno.
CODEX_CAT_EFFECTS_BLURB	Condizioni inflitte quando si riempie un indicatore di accumulo nascosto. Alcune danneggiano, altre debilitano, molte fanno entrambe le cose.
CODEX_CAT_EFFECTS_NAME	Effetti ad accumulo
CODEX_CAT_EMPOWERMENTS_BLURB	Mostri rari che compaiono con un singolo potenziamento, una corruzione che conferisce loro un'abilità aggiuntiva.
CODEX_CAT_EMPOWERMENTS_NAME	Mostri potenziati
CODEX_CAT_MONSTERS_BLURB	Le creature delle terre selvagge. Conosci il tuo nemico prima che sia lui a conoscere te.
CODEX_CAT_MONSTERS_NAME	Mostri
CODEX_CAT_NPCS_BLURB	La gente del regno. Alleati, mercanti e misteri.
CODEX_CAT_NPCS_NAME	Persone
CODEX_CAT_OFFENCE_BLURB	L'Offesa comprende tutto ciò che determina la potenza dei tuoi attacchi. Ogni colpo segue una formula:<x1/><x2/><x3/><x4/>Danno = Moltiplicatore dell'attacco × Potere × (1 + Statistiche della fonte + Statistiche del tipo) × (1 + Effetti più forti) × (1 - Riduzione del bersaglio)<x5/><x6/><x7/><x8/>Moltiplicatore dell'attacco - la potenza dell'attacco o dell'incantesimo stesso.<x9/><x10/>Potere - Potere fisico per danni da Taglio, Perforanti e Contundenti; Potere magico per gli elementi.<x11/><x12/>Statistiche della fonte - i tuoi bonus percentuali al Danno fisico o al Danno magico, sommati fra loro.<x13/><x14/>Statistiche del tipo - bonus percentuali al tipo preciso di danno, come Danno da fuoco o Danno da taglio, sommati fra loro.<x15/><x16/>Effetti più forti - i bonus attivi dello stesso genere non si accumulano; si applicano l'effetto della fonte più forte e quello del tipo più forte, sommandoli fra loro.<x17/><x18/>Riduzione del bersaglio - vedi la categoria Difesa.<x19/><x20/><x21/><x22/>I colpi critici moltiplicano il risultato per il tuo Danno critico. Ogni colpo infligge almeno 1 danno.
CODEX_CAT_SPELLS_BLURB	Ogni arte di guerra e meraviglia che un eroe può apprendere. Costi, tempi di recupero e ciò che lasciano dietro di sé.
CODEX_CAT_TIMEDEFFECTS_BLURB	Condizioni temporanee con durata limitata. Bonus e penalità da pozioni, cibo, incantesimi e attacchi nemici. Scadono da soli; fonti più forti applicano versioni più durature o potenti.<x1/>Le icone nella barra degli effetti sono di due tipi. Gli effetti attivi sono condizioni applicate a te; ricevere di nuovo lo stesso effetto non lo accumula, perché vale solo l'istanza più forte. I bonus passivi si attivano tramite abilità ed equipaggiamento e si sommano a tutti gli altri bonus.<x2/>Passa il puntatore su un'icona per vederne il tipo.
CODEX_CAT_TIMEDEFFECTS_NAME	Effetti
CODEX_CAT_UTILITY_BLURB	Statistiche utili fuori dal combattimento: quanto bene sostieni gli altri, quanto velocemente viaggi e quanto puoi trasportare.
CODEX_CAT_VITALS_BLURB	Le risorse fondamentali per continuare a combattere: Salute, Concentrazione, Vigore e il Nutrimento che le rifornisce.
CODEX_EFFECTALACRITY_DESC	Un bonus cumulabile che accelera gli attacchi base.<x1/>Ogni accumulo aumenta la tua Velocità d'attacco del 2%.<x2/>Si ottiene da alcune tecniche di combattimento.
CODEX_EFFECTBLEEDING_DESC	Un effetto cumulabile di danno nel tempo.<x1/>Ogni accumulo infligge danni ogni secondo in base al Potere fisico dell'attaccante. Altri colpi che causano Sanguinamento aggiungono accumuli.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata e amplificarne il danno.
CODEX_EFFECTBURNING_DESC	Un effetto cumulabile di danno nel tempo.<x1/>Ogni accumulo infligge danni ogni secondo in base al Potere magico dell'attaccante. Altri colpi che causano Ustione aggiungono accumuli.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata e amplificarne il danno.
CODEX_EFFECTCHILL_DESC	Una penalità cumulabile che rallenta la vittima.<x1/>Ogni accumulo riduce la Velocità di movimento del 2%.<x2/>Il Gelo viene applicato soprattutto dagli attacchi di Ghiaccio.<x3/><x4/><x5/><x6/><x7/>L'equipaggiamento può prolungarne la durata e potenziarne il rallentamento.
CODEX_EFFECTCROSSBOWSWAP_DESC	Un bonus cumulabile ottenuto passando alla balestra. Ogni accumulo aumenta la tua Velocità di movimento finché dura.
CODEX_EFFECTDOUBLESTRIKE_DESC	Un bonus cumulabile che raddoppia gli attacchi.<x1/>Finché hai accumuli, ogni colpo ne consuma uno e infligge due volte il proprio danno.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata.
CODEX_EFFECTFROSTBOUND_DESC	Un bonus cumulabile che ti rende più resistente al freddo.<x1/>Ogni accumulo aumenta la tua Resistenza al ghiaccio.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata.
CODEX_EFFECTINOCULATION_DESC	Un bonus cumulabile che ti protegge dalle tossine.<x1/>Ogni accumulo riduce del 2% il danno subito dagli effetti periodici del Veleno.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata.
CODEX_EFFECTKINDLED_DESC	Un bonus cumulabile che ti protegge dalle fiamme.<x1/>Ogni accumulo riduce del 2% il danno subito dagli effetti periodici dell'Ustione.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata.
CODEX_EFFECTPOISON_DESC	Un effetto cumulabile di danno nel tempo.<x1/>Ogni accumulo infligge danni ogni secondo in base al più alto tra Potere fisico e Potere magico dell'attaccante. Altri colpi che causano Veleno aggiungono accumuli.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata e amplificarne il danno.
CODEX_EFFECTRAGE_DESC	Un bonus cumulabile che potenzia gli attacchi fisici.<x1/>Ogni accumulo aumenta del 2% il Danno fisico che infliggi.<x2/>Si ottiene da alcuni incantesimi, pozioni e passive.<x3/><x4/><x5/><x6/><x7/>L'equipaggiamento può prolungarne la durata.
CODEX_EFFECTSHOCK_DESC	Aumenta la riduzione dei tempi di recupero e la Velocità di movimento.
CODEX_EFFECTSWORDSWAP_DESC	Un bonus cumulabile ottenuto passando alla spada. Ogni accumulo aumenta la tua Velocità d'attacco finché dura.
CODEX_EFFECTTEMPORALECHO_DESC	Una penalità cumulabile che rallenta la vittima.<x1/>Ogni accumulo riduce la Velocità di movimento del 2%.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata e potenziarne il rallentamento.
CODEX_EFFECTTEMPORALSURGE_DESC	Un bonus cumulabile che ti rende più rapido.<x1/>Ogni accumulo aumenta la Velocità di movimento dell'1%.<x2/><x3/><x4/><x5/><x6/>L'equipaggiamento può prolungarne la durata.
CODEX_EFFECTTREANTBURNING_DESC	Gli accumuli di Ustione aumentano il danno al bersaglio
CODEX_EFFECTVERSATILEWARRIOR_DESC	Un bonus cumulabile per combattere con lama e incantesimi. Ogni accumulo aumenta sia il Danno fisico sia il Danno magico che infliggi.
CODEX_EMPOWERMENTARCANESHIELDED_DESC	Un potenziamento che conferisce al mostro una barriera capace di assorbire interamente un incantesimo.<x1/>La barriera ritorna poco dopo essere stata consumata e ferma solo i lanci diretti: il danno nel tempo già attivo sul mostro continua a infliggergli danni attraverso di essa.
CODEX_EMPOWERMENTARCANESHIELDED_NAME	Scudo Arcano
CODEX_EMPOWERMENTBLIGHTED_DESC	Un potenziamento che lascia una scia di Pozze di Veleno ovunque passi il mostro.<x1/>Le pozze compaiono durante gli spostamenti, non a intervalli regolari: se il mostro ti insegue, contamina tutto il percorso alle sue spalle.
CODEX_EMPOWERMENTBLIGHTED_NAME	Infetto
CODEX_EMPOWERMENTBRUTAL_DESC	Un potenziamento che aumenta il danno e la Velocità di movimento del mostro.<x1/>Il suo modo di combattere non cambia, ma gli attacchi noti colpiscono più forte e arrivano prima di quanto ti aspetti da quella creatura.
CODEX_EMPOWERMENTFLAMECALLER_DESC	Un potenziamento che lascia Fosse Ardenti sul terreno sotto il mostro.<x1/>Nuove fosse compaiono durante lo scontro, ovunque si trovi: un lungo combattimento nello stesso punto riempie gradualmente il terreno di fuoco da evitare.
CODEX_EMPOWERMENTFLAMECALLER_NAME	Evocafiamme
CODEX_EMPOWERMENTFROSTBOUND_DESC	Un potenziamento che avvolge il mostro in un campo persistente di freddo.<x1/>Stargli vicino applica Gelo: più a lungo resti a distanza ravvicinata, più vieni rallentato.
CODEX_EMPOWERMENTMORTAR_DESC	Un potenziamento che lancia periodicamente un proiettile esplosivo sulla posizione di un giocatore.<x1/>Sceglie qualcuno nella zona indipendentemente da chi sta combattendo: chi attacca a distanza o offre supporto è esposto quanto chi sta in prima linea.
CODEX_EMPOWERMENTMORTAR_NAME	Mortaio
CODEX_EMPOWERMENTSPITEFUL_DESC	Un potenziamento che spara periodicamente un anello di proiettili in ogni direzione.<x1/>La salva ignora l'orientamento del mostro: arretrare di lato non basta. Osserva il lancio e spostati fuori dalla traiettoria dell'anello.
CODEX_EMPOWERMENTSPITEFUL_NAME	Rancoroso
CODEX_EMPOWERMENTSTORMAURA_DESC	Un potenziamento che infligge continuamente Danno da etere a chiunque si trovi vicino al mostro.<x1/>Il danno si applica senza che il mostro attacchi: restare a distanza ravvicinata costa Salute anche mentre pari o schivi i suoi colpi.
CODEX_EMPOWERMENTSTORMAURA_NAME	Aura Tempestosa
CODEX_EMPOWERMENTSWIFT_DESC	Un potenziamento che aumenta la Velocità di movimento del mostro.<x1/>Si avvicina e si riposiziona più velocemente di un mostro normale, rendendo meno affidabili gli attacchi in arretramento e la fuga.
CODEX_EMPOWERMENTUNYIELDING_DESC	Un potenziamento che riduce drasticamente la durata degli stordimenti inflitti al mostro.<x1/>Lo stordimento lo trattiene appena: aspettati che continui ad agire quando un nemico normale sarebbe indifeso.
CODEX_EMPOWERMENTUNYIELDING_NAME	Inflessibile
CODEX_EMPOWERMENTVENOMOUS_DESC	Un potenziamento che applica Veleno ogni volta che un attacco del mostro ti colpisce.<x1/>Gli accumuli crescono rapidamente sotto attacchi ravvicinati continui: allontanati o rimuovili prima che il danno nel tempo superi le tue capacità di cura.
CODEX_EMPOWERMENTVENOMOUS_NAME	Velenoso
CODEX_FACT_CASTTIME	Tempo di lancio
CODEX_FACT_CRAFTEDAT	Creato presso
CODEX_FACT_DAMAGETYPE	Tipo di danno
CODEX_FACT_DANGER	Pericolo
CODEX_FACT_ELEMENT	Elemento
CODEX_FACT_HEALTHCOST	Costo in Salute
CODEX_FACT_KIND	Genere
CODEX_FACT_MAXSTACKS	Accumuli massimi
CODEX_FACT_PARENT	Voce principale
CODEX_FACT_RANGE	Portata
CODEX_FACT_STACK	Accumulo
CODEX_FACT_STORAGESLOTS	Slot di deposito
CODEX_FACT_TAGS	Etichette
CODEX_FACT_TARGETS	Bersagli
CODEX_FACT_ZONES	Zone
CODEX_ITEMALPHACLAW_DESC	Un enorme artiglio rinforzato per natura, apprezzato per la robustezza e il valore simbolico.
CODEX_ITEMALPHAFUR_DESC	Spessa pelliccia di un predatore alfa, folta e capace di trattenere il calore.
CODEX_ITEMAPPLE_DESC	Una mela succosa, ottimo spuntino nutriente da portare in viaggio.
CODEX_ITEMBEASTMEAT_DESC	Carne sostanziosa delle bestie di Mirkea, apprezzata per il sapore e il valore nutritivo.
CODEX_ITEMBRUSHFLAX_DESC	Lino resistente raccolto nel sottobosco.
CODEX_ITEMBRUSHFLAX_NAME	Lino Selvatico
CODEX_ITEMCHICKENEGG_DESC	Un delizioso Uovo di Gallina crudo.
CODEX_ITEMCOPPERORE_DESC	Roccia grezza contenente rame, estratta dalle miniere di Mirkea.
CODEX_ITEMCORRUPTEDTREANTBARK_DESC	Corteccia annerita strappata a un Treant, deformata dalla corruzione.<x1/><x2/> <x3/><x4/> Un ingrediente essenziale per la creazione di incantesimi.
CODEX_ITEMCORRUPTEDTREANTHEART_DESC	Il cuore nodoso di un Treant corrotto.<x1/><x2/> <x3/><x4/> Un ingrediente essenziale per la creazione di incantesimi.
CODEX_ITEMCRITTERMEAT_DESC	Carne appena ricavata da piccola selvaggina.
CODEX_ITEMDROOPCORE_DESC	Il cuore vivo di un Droop, che pulsa ancora debolmente di energia arcana.
CODEX_ITEMDROOPGELO_DESC	Una sostanza scivolosa e gelatinosa estratta dal Droop. Idratante per natura, offusca la mente se non viene raffinata.
CODEX_ITEMDRYADEYE_DESC	Un occhio cristallino di una Driade caduta. Si dice riveli frammenti della memoria della foresta.
CODEX_ITEMDRYADLOCK_DESC	Una ciocca di capelli argentei di Driade, ancora calda di una debole scintilla vitale.
CODEX_ITEMEMBERBLOOM_DESC	Una pianta rara che cresce nel cuore della foresta, rinomata per le sue proprietà potenzianti
CODEX_ITEMFORESTKINGFUR_DESC	Un folto ciuffo di pelliccia incantata che fluttua nell'aria come privo di peso.
CODEX_ITEMFORESTKINGTINE_DESC	Una punta spezzata di un enorme palco di corna, liscia al tatto e intrisa di potente magia
CODEX_ITEMFRAYEDCLOTH_DESC	Una striscia strappata di tessuto logoro, con bordi sfilacciati e consunti.
CODEX_ITEMGLASSVIAL_DESC	Un recipiente trasparente di qualità alchemica, progettato per contenere pozioni, estratti o miscele instabili.
CODEX_ITEMGOBLINTOOTH_DESC	Un piccolo dente ingiallito, scheggiato e storto, estratto dalla mascella di un goblin.
CODEX_ITEMHEARTOAK_DESC	Legno pesante ricavato dalla venerata Quercia del Cuore di Aldoria.
CODEX_ITEMHORDEKINGTOOTH_DESC	Una zanna seghettata del Re del Tesoro, macchiata di scuro vicino alla radice
CODEX_ITEMLARGEGOBLINTOOTH_DESC	Un dente di goblin enorme, pesante e spesso, con solchi profondi
CODEX_ITEMLINEN_DESC	Tessuto a trama fitta ottenuto da fibre vegetali trattate.
CODEX_ITEMOIL_DESC	Un liquido denso e scivoloso che prende fuoco facilmente e brucia a lungo.
CODEX_ITEMPOISON_DESC	Un liquido velenoso denso
CODEX_ITEMSINGINGBELLFLOWER_DESC	Una pianta rara che cresce nel cuore della foresta, nota per le sue proprietà rigeneranti
CODEX_ITEMSTONE_DESC	Pietra finemente frantumata, raccolta nei siti di scavo di Mirkea.
CODEX_ITEMTENDERBERRY_DESC	Una morbida bacca cremisi, nota per la dolcezza delicata e il calore curativo.
CODEX_ITEMTHAUMABLOSSOM_DESC	Un fiore viola luminoso che si ritiene cresca vicino alle fratture delle linee di forza.
CODEX_ITEMTREANTHEART_DESC	Il nucleo pulsante di un Treant, colmo di magia vitale latente. Se ne avverte ancora il battito ritmico nel palmo.
CODEX_ITEMTREANTWOOD_DESC	Legno spesso e vivo ricavato dai Treant, che vibra debolmente di forza rigenerante.
CODEX_ITEMWILDWOODPINE_DESC	Un pino alto e resistente, originario delle regioni più selvagge di Aldoria, apprezzato per la robustezza e la flessibilità.
CODEX_ITEMWOLFFANG_DESC	Una zanna ricurva di lupo selvatico.
CODEX_META_DEFINITION	Definizione  ›
CODEX_META_SUBENTRIES	<x1/> sottovoci  ›
CODEX_META_SUBENTRY	<x1/> sottovoce  ›
CODEX_MONSTERCORRUPTEDHEART1_NAME	Cuore corrotto1
CODEX_MONSTERGOBLINFLASKRATT2EMPOWERED_NAME	Goblin Flaskrat T2 potenziato
CODEX_MONSTERGOBLINRIPPERT2EMPOWERED_NAME	Goblin Squartatore T2 potenziato
CODEX_NPCBASILTONSNOTE_NAME	Biglietto di Basilton
CODEX_NPCGUARD_NAME	Guardia
CODEX_NPCLOSTBOY_NAME	Bambino smarrito
CODEX_NPCSUSPICIOUSTRADER_NAME	Mercante sospetto
CODEX_RECIPEAPPLEJUICE_DESC	Succo di Mela dolce diluito con acqua. Ottimo per dissetarsi in viaggio. Berlo aumenta per un certo tempo la Rigenerazione del vigore<x1/><x2/><x3/><x4/><x5/>Ripristina la barra della Sete e aumenta la Rigenerazione del vigore del 10% per 30 minuti. Può essere attivo un solo bonus da bevanda alla volta.
CODEX_RECIPEBELLFLOWERSOUP_DESC	Una zuppa aromatica e mistica di Campanula Canterina e Thaumablossom. Il suo aroma etereo calma i sensi e protegge dalle instabili energie dell'Etere.<x1/><x2/><x3/><x4/><x5/>Ripristina le barre di Fame e Sete. Conferisce 10% Salute massima e 25% Resistenza all'etere per 30 minuti.
CODEX_RECIPEBLOODRAGEPOTION1_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.<x1/><x2/><x3/><x4/>Bevi per applicare 5 accumuli di Furia<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBLOODRAGEPOTION2_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.<x1/><x2/><x3/><x4/>Bevi per applicare 5 accumuli di Furia<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBLOODRAGEPOTION3_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.<x1/><x2/><x3/><x4/>Bevi per applicare 5 accumuli di Furia<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBLOODRAGEPOTION4_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.<x1/><x2/><x3/><x4/>Bevi per applicare 5 accumuli di Furia<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBLOODRAGEPOTION5_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.<x1/><x2/><x3/><x4/>Bevi per applicare 5 accumuli di Furia<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBLOODRAGEPOTION_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.<x1/><x2/><x3/><x4/>Bevi per applicare 5 accumuli di Furia<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBURNSALVE1_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.<x1/><x2/><x3/><x4/>Cura l'Ustione<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBURNSALVE2_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.<x1/><x2/><x3/><x4/>Cura l'Ustione<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBURNSALVE3_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.<x1/><x2/><x3/><x4/>Cura l'Ustione<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBURNSALVE4_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.<x1/><x2/><x3/><x4/>Cura l'Ustione<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBURNSALVE5_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.<x1/><x2/><x3/><x4/>Cura l'Ustione<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBURNSALVE_DESC	Un unguento rapido fatto con stoffa e bacche curative. Rimuove l'Ustione da chi lo usa.<x1/><x2/><x3/><x4/>Cura l'Ustione<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEBURROWBROTH_DESC	Un brodo rustico e confortante di Carne di Bestiola e uova fresche. Apprezzato dagli esploratori del sottosuolo perché sostiene sia la salute fisica sia la concentrazione.<x1/><x2/><x3/><x4/><x5/>Ripristina le barre di Fame e Sete. Conferisce 5% Salute massima e Concentrazione massima per 30 minuti.
CODEX_RECIPECOOKEDBEASTMEAT_DESC	Un piatto semplice e saziante, apprezzato da viandanti e raccoglitori. Cotto per preservarne il sapore naturale e placare la fame nelle terre selvagge.<x1/><x2/><x3/><x4/><x5/>Ripristina la barra della Fame e aumenta la Salute massima del 10% per 30 minuti. Può essere attivo un solo bonus da cibo alla volta.
CODEX_RECIPECOOKEDCRITTER_DESC	Un pasto semplice arrostito sulla fiamma viva, che offre un modesto nutrimento per placare la fame in viaggio.<x1/><x2/><x3/><x4/><x5/>Ripristina la barra della Fame e aumenta la Salute massima del 5% per 30 minuti. Può essere attivo un solo bonus da cibo alla volta.
CODEX_RECIPECOPPERPICKAXE_DESC	Uno strumento da minatore con testa forgiata in rame, progettato per scavare facilmente nella pietra compatta.
CODEX_RECIPECOPPERTHROWINGKNIFE1_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.<x1/><x2/><x3/><x4/>Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPECOPPERTHROWINGKNIFE2_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.<x1/><x2/><x3/><x4/>Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPECOPPERTHROWINGKNIFE3_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.<x1/><x2/><x3/><x4/>Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPECOPPERTHROWINGKNIFE4_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.<x1/><x2/><x3/><x4/>Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPECOPPERTHROWINGKNIFE5_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.<x1/><x2/><x3/><x4/>Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPECOPPERTHROWINGKNIFE_DESC	Un Coltello da Lancio di Rame ben bilanciato che attraversa i nemici. Apprezzato in combattimento per precisione e peso.<x1/><x2/><x3/><x4/>Lancia per danneggiare i nemici e applicare Sanguinamento. I coltelli attraversano i nemici.<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPECOPPERWOODCUTTINGAXE_DESC	Un'ascia migliorata con filo di rame. Incide più a fondo la corteccia e accelera la raccolta del legno.
CODEX_RECIPEEARLWOODFEAST_DESC	Un banchetto ricco e saziante di sostanziosa Carne di Bestia e uova fresche, cotto lentamente sul calore intenso del Legno di Treant. Potenzia in modo equilibrato tutti gli attributi fisici e mentali.<x1/><x2/><x3/><x4/><x5/>Ripristina la barra della Fame. Conferisce 7% Salute, Vigore e Concentrazione massimi per 30 minuti.
CODEX_RECIPEEMBERBLESSSOUP_DESC	Una zuppa sostanziosa e riscaldante, con l'essenza ardente di Emberbloom e tenera Carne di Bestia. Riempie lo stomaco e protegge dal calore intenso e dalle fiamme impetuose<x1/><x2/><x3/><x4/><x5/>Ripristina le barre di Fame e Sete. Conferisce 10% Salute massima, 25% Resistenza al fuoco e Resistenza all'ustione per 30 minuti.
CODEX_RECIPEEXPLOSIVEFLASK1_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.<x1/><x2/><x3/><x4/>Lancia per creare una pozza ardente.<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEEXPLOSIVEFLASK2_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.<x1/><x2/><x3/><x4/>Lancia per creare una pozza ardente.<x5/><x6/> Le cariche si ricaricano riposando.
CODEX_RECIPEEXPLOSIVEFLASK3_DESC	Una fiala instabile progettata per esplodere al contatto, bruciando i nemici nel raggio dell'esplosione.<x1/><x2/><x3/><x4/>Lancia per creare una pozza ardente.<x5/><x6/> Le cariche si ricaricano riposando.
