ARCHETYPE_AERIE_DEFENDER	Difensore del Nido
ATTR_TMPL_ARMORPENETRATIONPERCENT	<x1/>% Penetrazione dell'armatura
ATTR_TMPL_ATTACKDAMAGE	<x1/>% Danno d'attacco
ATTR_TMPL_CHILLEDPOWER	<x1/>% Potenza del gelo
ATTR_TMPL_CONCENTRATIONONHIT	<x1/> Concentrazione al colpo
ATTR_TMPL_CRITICALCHANCE	<x1/>% Probabilità di critico
ATTR_TMPL_CRITICALDAMAGE	<x1/>% Moltiplicatore critico
ATTR_TMPL_DAMAGEVSLOWHEALTH40	<x1/>% Danno vs. <40% HP
ATTR_TMPL_ENCUMBRANCE	<x1/> Ingombro
ATTR_TMPL_GUARDEFFICIENCY	<x1/>% Efficienza della guardia
ATTR_TMPL_HEALINGPOWER	<x1/>% Potere curativo
ATTR_TMPL_HEALTH	<x1/> HP
ATTR_TMPL_HPPERCENT	<x1/>% HP
ATTR_TMPL_ICEPIERCING	<x1/> Penetrazione da ghiaccio
ATTR_TMPL_ICERESISTANCE	<x1/> Resistenza al ghiaccio
ATTR_TMPL_MAGICPIERCING	<x1/> Penetrazione magica
ATTR_TMPL_MINIONCRITICALCHANCE	<x1/>% Probabilità di critico dei servitori
ATTR_TMPL_MINIONDAMAGE	<x1/>% Danno dei servitori
ATTR_TMPL_MINIONHEALTH	<x1/>% Salute dei servitori
ATTR_TMPL_RESISTANCEPENETRATION	<x1/> Penetrazione delle resistenze
ATTR_TMPL_RESISTANCEPENETRATIONPERCENT	<x1/>% Penetrazione delle resistenze
ATTR_TMPL_STUNBUILDUPINCREASE	<x1/>% Accumulo di stordimento
ATTR_TOTAL_DESC	La somma di tutti gli attributi, che rappresenta la forza complessiva del personaggio.
CINEMATIC_INTRO_001	Per cinquecento anni, Mirkea conobbe la guerra.
CINEMATIC_INTRO_002	Aldoria, grande regno umano, e Xwin, fiero<x1/>Impero dei Minotauri, si dissanguarono senza fine.
CINEMATIC_INTRO_003	La pace divenne un sogno lontano.
CINEMATIC_INTRO_004	Così due anime, da fronti opposti, la cercarono<x1/>dove nessun regno aveva osato...
CINEMATIC_INTRO_005	sui Monti di Dimraeth.
CINEMATIC_INTRO_006	Lì infuriava la magia selvaggia: la fonte da cui<x1/>ogni magia sgorgava, e a cui ogni magia tornava.
CINEMATIC_INTRO_007	Antark, Figlio Imperiale di Xwin.<x1/>Tolais, grande inventore umano.
CINEMATIC_INTRO_008	Insieme sfidarono le vette<x1/>e impararono a domare la magia selvaggia.
CINEMATIC_INTRO_009	Su quel focolare fondarono Dimraeth,<x1/>città di progresso, pace e unità
CINEMATIC_INTRO_010	per ogni razza di Mirkea.
CINEMATIC_INTRO_011	Dimraeth dimostrò a Mirkea<x1/>che la pace si poteva costruire.
CINEMATIC_INTRO_012	Ma non tutti i cuori anelano all'unità.
CINEMATIC_INTRO_013	Sylbos, Signore Oscuro di Dolmarok, ultimo dei<x1/>Maghi Ogre, bramava il potere di Dimraeth.
CINEMATIC_INTRO_014	Marciò da nord con un esercito di schiavi,<x1/>finché le porte di Dimraeth tremarono sotto la sua orda.
CINEMATIC_INTRO_015	Lì i popoli liberi di Mirkea<x1/>gli si opposero.
CINEMATIC_INTRO_016	Spezzarono la sua orda e lo respinsero.
CINEMATIC_INTRO_017	Ma la vittoria esigeva un prezzo.
CINEMATIC_INTRO_018	Antark cadde, difendendo il sogno che aveva costruito.
CINEMATIC_INTRO_019	Respinto e amareggiato dalla sconfitta, Sylbos tornò<x1/>a Dolmarok e si consacrò agli Dei Oscuri.
CINEMATIC_INTRO_020	Forte della corruzione e di una magia più antica,<x1/>lanciò un incantesimo per legare la sua volontà
CINEMATIC_INTRO_021	al piano mortale<x1/>e rendersi immortale.
CINEMATIC_INTRO_022	Faustas, il venerabile mago, udì<x1/>le empie parole nel vento e rispose.
CINEMATIC_INTRO_023	I loro poteri si scontrarono nei cieli.
CINEMATIC_INTRO_024	L'incantesimo si infranse.
CINEMATIC_INTRO_025	Eppure il suo potere non svanì.
CINEMATIC_INTRO_026	L'immortalità destinata al solo Sylbos si sparse<x1/>su Mirkea, legandosi ad anime disperse.
CINEMATIC_INTRO_027	Faustas cercò di radunarle<x1/>prima che Sylbos le trovasse,
CINEMATIC_INTRO_028	ma la magia selvaggia ancora turbinava nell'aria,
CINEMATIC_INTRO_029	e il suo incantesimo fallì.
CINEMATIC_INTRO_030	Così ha inizio la nostra storia.
CINEMATIC_INTRO_031	Non nel trionfo, né nelle sale dei re,
CINEMATIC_INTRO_032	ma nell'oscurità, nelle profondità del mondo,
CINEMATIC_INTRO_033	dove gli smarriti si risvegliano...
CINEMATIC_INTRO_034	e persino la morte potrebbe già<x1/>aver perso la sua presa.
CINEMATIC_PAUSE_PROMPT	Pausa
CINEMATIC_RESUME_PROMPT	Riprendi
CINEMATIC_SKIP_PROMPT	Salta
CLASS_BUILDER	Costruttore
EFFECT_ACCELERATEDCASTING_DESC	Aumenta per breve tempo la Velocità di movimento e la Velocità d'attacco dopo un'abilità da Elfo.
EFFECT_AMBUSH_DESC	Imboscata è pronta. Il prossimo attacco automatico dopo uno scatto rapido infligge più Danno fisico.
EFFECT_ARMORDOWN_DESC	L'Armatura è ridotta e aumenta il Danno fisico subito.
EFFECT_ARMORUP_DESC	L'Armatura è aumentata e riduce il Danno fisico subito.
EFFECT_ASHENESCALATION_DESC	Escalation di Cenere ha aumentato il Danno da fuoco in base agli accumuli di Ustione consumati.
EFFECT_BLEEDINGRESISTANCE_DESC	Quando un Effetto ad accumulo di Sanguinamento si applica a un bersaglio con questo effetto attivo, riduci gli accumuli applicati del 50%, arrotondando per eccesso, con un minimo di 1.
EFFECT_BLOODFRENZY_DESC	Frenesia Sanguinaria aumenta il Danno fisico inflitto ai nemici con Sanguinamento.
EFFECT_BLOODINTHEWATER_DESC	Sangue nell'Acqua ha aumentato per breve tempo la Probabilità di critico dopo un colpo a un nemico con forte Sanguinamento.
EFFECT_BLUNTFORCEEXECUTE_DESC	Esecuzione Contundente ha aumentato per breve tempo il Danno fisico dopo un colpo mortale contundente.
EFFECT_BULWARK_DESC	Baluardo ha conferito Armatura bonus per breve tempo dopo che un singolo colpo ha rimosso oltre il 30% della Salute massima.
EFFECT_BURNINGRESISTANCE_DESC	Quando un Effetto ad accumulo di Ustione si applica a un bersaglio con questo effetto attivo, riduci gli accumuli applicati del 50%, arrotondando per eccesso, con un minimo di 1.
EFFECT_COLDSCALEDPOWER_DESC	Potere Scalato dal Freddo ha aumentato il Danno magico in base agli accumuli di Gelo del bersaglio.
EFFECT_CONCENTRATIONDOWN_DESC	La Concentrazione massima è ridotta.
EFFECT_CONCENTRATIONONHITUP	Concentrazione al colpo aumentata
EFFECT_CONCENTRATIONONHITUP_DESC	La Concentrazione si ripristina colpendo i nemici.
EFFECT_CONCENTRATIONUP_DESC	La Concentrazione massima è aumentata.
EFFECT_COUNTERFIREDISCIPLINE_DESC	Disciplina del Controfuoco è pronta. Il prossimo Attacco finale a distanza infligge più danno.
EFFECT_DEADLYRHYTHM_DESC	Ritmo Letale ha aumentato per breve tempo la Velocità d'attacco dopo un colpo critico.
EFFECT_DECAYCHANNEL_DESC	Canale del Decadimento ha aumentato per breve tempo il Danno magico dopo il lancio di un incantesimo di Magia della peste.
EFFECT_DEFENDANDASSAULT_DESC	Difesa e Assalto ha aumentato per breve tempo la Velocità d'attacco dopo una Rappresaglia riuscita.
EFFECT_ECHOEDFOCUS_DESC	Concentrazione Riecheggiata aumenta la Rigenerazione della concentrazione mentre un nemico vicino ha più di 5 accumuli di Eco temporale.
EFFECT_ECHOESOFICE_DESC	Echi di Ghiaccio riapplica il Gelo consumato come Eco temporale per la sua durata residua.
EFFECT_ELVISHVELOCITY_DESC	Aumenta per breve tempo la Velocità di movimento dopo un'abilità da Elfo.
EFFECT_FINISHINGEDGE_DESC	Aumenta per breve tempo il Danno critico dopo un colpo critico a un nemico indebolito.
EFFECT_FLAMEFEEDFRENZY_DESC	Frenesia Nutrifiamma ha aumentato la Velocità d'attacco e la Celerità magica in base agli accumuli di Ustione consumati.
EFFECT_FLAMINGOILCOATING_DESC	Gli attacchi infliggono il 50% del loro danno come Danno da fuoco.
EFFECT_FOCUSEDASSAULT_DESC	Aumenta per breve tempo il Danno d'attacco dopo un'abilità da Elfo.
EFFECT_FROSTEDOILCOATING_DESC	Gli attacchi infliggono il 50% del loro danno come Danno da ghiaccio.
EFFECT_GLACIALDRAG_DESC	Trascinamento Glaciale ha rallentato un nemico in base agli accumuli di Gelo consumati su di esso.
EFFECT_HAYMAKER_DESC	Colpo Demolitore ha aumentato per breve tempo il Danno fisico dopo uno scatto rapido.
EFFECT_HEALTHDOWN_DESC	La Salute massima è ridotta.
EFFECT_HEALTHUP_DESC	La Salute massima è aumentata.
EFFECT_INFECTIONSCENT_DESC	Odore d'Infezione ha aumentato per breve tempo la Probabilità di critico dopo un colpo a un nemico fortemente Avvelenato.
EFFECT_KINDLEDFOCUS_DESC	Concentrazione Ravvivata ha aumentato per breve tempo la Rigenerazione della concentrazione dopo l'applicazione di Ustione.
EFFECT_KNOCKOUTRESERVES_DESC	Riserve da Knockout ha ripristinato Vigore dopo lo stordimento di un nemico.
EFFECT_LIONSURGE_DESC	Ondata del Leone ha aumentato per breve tempo il Danno perforante dopo un colpo critico perforante.
EFFECT_MURDERTEMPO_DESC	Tempo Omicida ha aumentato per breve tempo la Velocità d'attacco e il Danno critico dopo un colpo mortale critico.
EFFECT_OVERCHANNEL_DESC	Sovraccanalizzazione ha aumentato per breve tempo il Danno magico dopo una spesa elevata di Concentrazione per un incantesimo.
EFFECT_PERMAFROSTRHYTHM_DESC	Ritmo del Permafrost ha aumentato la Celerità magica in base agli accumuli di Gelo consumati.
EFFECT_PLAGUEMIND_DESC	Mente della Peste ha conferito Concentrazione al colpo bonus per breve tempo dopo un forte avvelenamento di un nemico.
EFFECT_POISONRESISTANCE_DESC	Quando un Effetto ad accumulo di Veleno si applica a un bersaglio con questo effetto attivo, riduci gli accumuli applicati del 50%, arrotondando per eccesso, con un minimo di 1.
EFFECT_PUMMEL_DESC	Martellamento ha aumentato per breve tempo il Danno fisico dopo tre colpi contundenti in rapida successione.
EFFECT_PYREECHO_DESC	Eco della Pira ha aumentato il Danno magico in base agli accumuli di Ustione del bersaglio.
EFFECT_RAGEFROMRUIN_DESC	Furia dalla Rovina ha conferito Furia dopo lo stordimento di un nemico.
EFFECT_RECOVERYDOWN	Recupero ridotto
EFFECT_RECOVERYUP	Recupero aumentato
EFFECT_REGENERATIONDOWN_DESC	La Rigenerazione della salute è ridotta.
EFFECT_REGENERATIONUP_DESC	La Rigenerazione della salute è aumentata.
EFFECT_REJUVINATIONDOWN	Ringiovanimento ridotto
EFFECT_REJUVINATIONUP	Ringiovanimento aumentato
EFFECT_RESISTANCEDOWN_DESC	La Resistenza è ridotta e aumenta il Danno magico subito.
EFFECT_RESISTANCEUP_DESC	La Resistenza è aumentata e riduce il Danno magico subito.
EFFECT_RIPOSTEDISCIPLINE_DESC	Disciplina della Riposta è pronta. Il prossimo Terzo Colpo infligge più danno.
EFFECT_RIPOSTE_DESC	Riposta ha aumentato per breve tempo il Danno da taglio dopo aver parato un attacco.
EFFECT_ROOTED_DESC	Radicato. Non puoi muoverti finché l'effetto non termina.
EFFECT_SECONDWIND_DESC	Secondo Respiro ha rimborsato metà di una spesa elevata di Vigore. Può accadere solo una volta ogni 15 secondi.
EFFECT_SHADOWEDSTEEL_DESC	Acciaio Ombrato ha aumentato per breve tempo il Danno fisico dopo l'uso di un'Arte dell'ombra.
EFFECT_SILENTRECOVERY_DESC	Recupero Silenzioso ha aumentato per breve tempo la Rigenerazione del vigore dopo che il Vigore è sceso sotto il 35%.
EFFECT_SLASHANDBASH_DESC	Taglia e Percuoti ha aumentato per breve tempo il Danno fisico dopo un colpo mortale da taglio.
EFFECT_SONICDAGGERS_DESC	L'effetto Pugnali Sonici è attivo. Gli attacchi automatici lanciano un Dardo Sonico aggiuntivo contro il bersaglio.
EFFECT_SPEEDDOWN	Velocità ridotta
EFFECT_STAMINADOWN_DESC	Il Vigore massimo è ridotto.
EFFECT_STAMINAUP_DESC	Il Vigore massimo è aumentato.
EFFECT_STONEHIDE_DESC	Pelle di Pietra ha conferito Armatura bonus per breve tempo dopo aver inflitto Danno contundente.
EFFECT_STUNNINGTEMPO_DESC	Tempo Stordente ha aumentato per breve tempo la Velocità d'attacco dopo lo stordimento di un nemico.
EFFECT_STUN_DESC	Stordito. Non puoi muoverti, attaccare o lanciare incantesimi finché lo stordimento non termina.
EFFECT_SUDDENSTRIDE_DESC	Falcata Improvvisa ha aumentato per breve tempo la Velocità di movimento dopo un colpo critico.
EFFECT_SURGECASTING_DESC	Lancio d'Ondata è pronto e aumenta il Danno magico del tuo prossimo incantesimo.
EFFECT_SURGEOFMASTERY_DESC	Ondata di Maestria ha aumentato per breve tempo la Velocità d'attacco dopo un colpo critico.
EFFECT_TEMPOCONVERSION_DESC	Conversione di Tempo è pronta. Il prossimo attacco ha una Probabilità di critico molto più alta.
EFFECT_TEMPORALCLEAVE_DESC	Fendente Temporale ha consumato Ondata temporale, applicando Sanguinamento ai nemici attorno al bersaglio.
EFFECT_THICKSKIN_DESC	Pelle Spessa ha dimezzato un colpo che ti avrebbe portato sotto il 40% di Salute. Può accadere solo una volta ogni 30 secondi.
EFFECT_TIMELESSFLAMES_DESC	L'effetto Fiamme Atemporali è pronto. Il prossimo incantesimo di Fuoco consuma Ondata temporale per ridurre il proprio tempo di recupero.
EFFECT_TOXICOILCOATING_DESC	Gli attacchi infliggono il 50% del loro danno come Danno da decadimento.
EFFECT_VIRULENTCASTING_DESC	Lancio Virulento ha aumentato per breve tempo la Celerità magica dopo un colpo critico di un incantesimo.
EFFECT_WEAKPOINTSENSE_DESC	Senso del Punto Debole è pronto. La prossima Arte dell'ombra ha una Probabilità di critico aumentata.
EFFECT_WELLRESTED_DESC	Aumenta gli XP ottenuti dai mostri e riduce il decadimento di Fame e Sete
EFFECT_WILDFIRE_DESC	Incendio Selvaggio aumenta il danno inflitto ai nemici con Ustione.
EFFECT_WINTERFOCUS_DESC	Concentrazione Invernale ha aumentato per breve tempo la Rigenerazione della concentrazione dopo l'applicazione di Gelo.
EFFECT_WINTERGUARD_DESC	Guardia Invernale riduce il danno subito dagli attaccanti Assiderati.
EQUIPMENT_AETHERSHADE_BONUS_6	Vetro Notturno: i tuoi attacchi di Etere contro nemici con Sanguinamento o Avvelenati ripristinano 10 Concentrazione. Tempo di recupero: 0,5 s
EQUIPMENT_BLIGHTSEED_BONUS_3	Marciume di Semi: ora le tue Bombe di Semi lasciano una Pozza di Veleno quando esplodono
EQUIPMENT_BLIGHTSEED_BONUS_6	Tempesta di Semi: lancia un gruppo di semi anziché uno solo
EQUIPMENT_BRUTALCLAW_BONUS_3	Artiglio Sanguinante: Artiglio Selvaggio è potenziato e applica 5 accumuli aggiuntivi di Sanguinamento
EQUIPMENT_BRUTALCLAW_BONUS_5	Artiglio Potenziato: Artiglio Selvaggio è potenziato e infligge il 33% di danno extra
EQUIPMENT_BULLHEART_BONUS_5	Pelle di Pietra: quando colpisci un nemico con Danno contundente, ottieni 15 Armatura per 5 secondi
EQUIPMENT_BURNWARD_BONUS_4	Pelle Callosa: quando lanci un incantesimo di Fuoco, aumenti la tua Resistenza al fuoco del 18% e ottieni Resistenza all'ustione per 4 secondi
EQUIPMENT_CHILLHOWL_BONUS_3	Richiamo Canalizzato: tieni premuto per canalizzare. Ululato Alfa genera impatti attorno a te finché canalizzi, consumando Concentrazione ogni secondo
EQUIPMENT_CHILLHOWL_BONUS_5	Richiamo alla Luna: durante la canalizzazione, gli impatti di Ululato Alfa piovono sul punto di mira, seguendone gli spostamenti
EQUIPMENT_CONVERGENCE_BONUS_6	Sovraccanalizzazione: quando spendi oltre 30 Concentrazione in una volta, ottieni +20% Danno magico per 5 secondi
EQUIPMENT_DAZZLER_BONUS_4	Repulsione Abbagliante: Repulsione causa Accumulo di stordimento oltre a respingere i nemici. L'Accumulo di stordimento di Repulsione Abbagliante cresce con il Potere magico
EQUIPMENT_DUSKBLOOM_BONUS_6	Foglia Tossica: dopo uno scatto rapido, il tuo prossimo colpo di Etere o perforante entro 4 secondi conferisce +10% Velocità di movimento per 3 secondi. Tempo di recupero: 1 s
EQUIPMENT_ENFLAMED_BONUS_4	Ardore Eterno: quando lanci un incantesimo di Fuoco, spari un colpo di mortaio verso un nemico vicino casuale, infliggendo Danno da fuoco
EQUIPMENT_ERUPTING_BONUS_3	Residui d'Acqua: ora Eruzione sparge Pozze d'Acqua con un lancio caricato al massimo
EQUIPMENT_FERALBOND_BONUS_3	Doppio Vincolo: Potere della Natura Selvaggia si applica sia a te sia al tuo bersaglio
EQUIPMENT_FERALBOND_BONUS_6	Vincolo del Branco: Potere della Natura Selvaggia si applica a tutti gli alleati attorno a te
EQUIPMENT_FORESTLINKED_BONUS_5	Cuore Aggiuntivo: Cuore della Foresta ha una carica in più
EQUIPMENT_FROSTWARD_BONUS_6	Guardia Invernale: i nemici Assiderati ti infliggono il 10% di danno in meno
EQUIPMENT_GLOOMFANG_BONUS_6	Ferita Marcescente: i tuoi attacchi di Decadimento contro nemici Avvelenati ripristinano 8 Vigore. Tempo di recupero: 0,5 s
EQUIPMENT_GOBLINCALLER_BONUS_3	Più Goblin: Lancio di Goblin genera 3 Goblin anziché 1
EQUIPMENT_GOBLINCALLER_BONUS_6	Gruppo di Goblin: ogni impatto di Grandine di Rottami genera un servitore Goblin
EQUIPMENT_GOBLINFRIEND_BONUS_4	Grande Amico: evoca un Picchiatore che ti segue e combatte con te. Se muore, risorge dopo il combattimento
EQUIPMENT_GOREHORN_BONUS_5	Frenesia Sanguinaria: infliggi +12% Danno fisico ai nemici con Sanguinamento
EQUIPMENT_GRAVEVEIL_BONUS_5	Croce Sepolcrale: dopo uno scatto rapido, ottieni +12% Danno da decadimento per 4 secondi. Tempo di recupero: 3 s
EQUIPMENT_GUSTING_BONUS_3	Raffica Assiderante: Raffica infligge Danno da ghiaccio e applica 6 accumuli di Gelo
EQUIPMENT_IRONFIST_BONUS_6	Martellamento: colpire rapidamente lo stesso nemico con Danno contundente aumenta il tuo Danno fisico del +20% per 3 secondi
EQUIPMENT_LIONSPEAR_BONUS_6	Ondata del Leone: i colpi critici con Danno perforante conferiscono +20% Danno perforante per 5 secondi
EQUIPMENT_MOMENTUM_BONUS_3	Scatto Esplosivo: dopo uno scatto rapido, ottieni un breve aumento della Velocità di movimento
EQUIPMENT_MOONTHORN_BONUS_4	Foglia Rapida: dopo uno scatto rapido, ottieni +12% Danno perforante per 4 secondi. Tempo di recupero: 3 s
EQUIPMENT_PATHWEAVER_BONUS_3	Doppia Via: dopo aver inflitto Danno fisico, ottieni 3% Danno magico cumulabile per 4 secondi. Dopo aver inflitto Danno magico, ottieni 3% Danno fisico cumulabile per 4 secondi. Ogni effetto si accumula fino a 5 volte
EQUIPMENT_PATHWEAVER_BONUS_6	Ondata di Sentieri: aumenta entrambi gli effetti al 7% per accumulo
EQUIPMENT_PRECISIONFANG_BONUS_5	Zanna Guidata: ora Falange Zanna d'Etere spara ogni proiettile nella direzione scelta nell'arco di 1,5 secondi. Il danno di ciascun proiettile aumenta del 33%
EQUIPMENT_PUTRID_BONUS_3	Eruzione Putrida: ora Eruzione infligge Danno da decadimento e tutte le Pozze d'Acqua generate diventano Pozze di Veleno
EQUIPMENT_PUTRID_BONUS_5	Eruzione Espansiva: ora Eruzione sparge Pozze di Veleno con un lancio caricato al massimo
EQUIPMENT_PYREWEAVER_BONUS_6	Incendio Selvaggio: infliggi +15% danno ai nemici con Ustione
EQUIPMENT_REDSTEEL_BONUS_6	Imboscata: dopo uno Scatto rapido, il tuo prossimo colpo entro 3 secondi infligge +25% Danno fisico
EQUIPMENT_RIPPING_BONUS_3	Squarcio Lacerante: Tagli Frenetici continua per 3 secondi dopo il lancio iniziale, infliggendo Danno da taglio e applicando Sanguinamento ogni secondo ai nemici vicini
EQUIPMENT_RIPPING_BONUS_5	Tagli Sanguinosi: Tagli Frenetici applica il doppio del Sanguinamento
EQUIPMENT_ROOTBLOOM_BONUS_3	Ventaglio di Radici: ora Radici Avviluppanti evoca 3 radici in un cono
EQUIPMENT_ROOTBLOOM_BONUS_6	Fiore Tossico: le tue radici applicano 2 accumuli di Veleno in più
EQUIPMENT_ROOTBOUND_BONUS_3	Colpo di Radice: quando colpisci un nemico con il tuo Attacco finale, una spina di radice appare sotto di esso, infliggendo Danno da taglio
EQUIPMENT_RUMBLER_BONUS_6	Colpo Demolitore: dopo uno scatto rapido, ottieni +20% Danno fisico per 5 secondi
EQUIPMENT_SHAKERS_BONUS_4	Onda di Shock Caricata: ora Onda di Shock richiede di tenere premuto per il lancio. Alla carica massima emette un'onda più grande dopo la prima, che infligge il 40% del danno
EQUIPMENT_SHATTERING_BONUS_4	Stordisci e Frantuma: quando stordisci un nemico, una pioggia di rocce si sparge sul campo di battaglia, infliggendo Danno contundente a tutti i nemici colpiti
EQUIPMENT_SHIELDLINE_BONUS_6	Riposta: dopo aver parato un attacco, ottieni +20% Danno da taglio per 3 secondi
EQUIPMENT_SPIRITBOUND_BONUS_5	Benedizione di Ceres: quando lanci un incantesimo di Etere, ottieni il 20% di Danno magico extra per 3 secondi
EQUIPMENT_SPIRITBOUND_BONUS_7	Ira di Ceres: ogni volta che lanci un incantesimo di Etere, generi un dardo d'etere che, dopo un breve ritardo, insegue un nemico vicino casuale e infligge Danno da etere all'impatto
EQUIPMENT_STONEHOOVE_BONUS_6	Baluardo: quando un singolo colpo ti infligge danni superiori al 30% degli HP, ottieni +25 Armatura per 3 secondi
EQUIPMENT_SWIFTSTEP_BONUS_3	Scambio Rapido: Cambio conferisce a te e al tuo bersaglio un breve aumento di velocità
EQUIPMENT_SWIFTSTEP_BONUS_6	Passo Guardiano: ottieni anche 25% Armatura durante l'aumento di velocità
EQUIPMENT_THORNBORN_BONUS_4	Cerchio di Spine: Ventaglio di Spine spara proiettili tutt'attorno a te, infliggendo Danno perforante. Cerchio di Spine si applica ai Cuori della Foresta
EQUIPMENT_TIDESTORM_BONUS_3	Pozza di Marea: Ondata d'Acqua lascia una pozza dietro di sé
EQUIPMENT_TIDESTORM_BONUS_6	Marea Impetuosa: riduce del 33% il tempo di recupero di Ondata d'Acqua
INSCENE_EARLWOODFARMLANDSPARTII_NOTIF_7682E0	Hai appreso informazioni sul Mulino di Haylor.
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_111B2D	"Grande avventuriero, ti prego! Aiutami a trovare il giocattolo di mia figlia. Abbiamo così poco..."
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_324439	Hai segnato il recinto con un cartello che indica il percorso
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_3D1FFB	Lo stendardo protettivo di Tamsin è indebolito; la sua runa si affievolisce, come privata della magia
