Accelerated Hemorrhage	Emorragia accelerata
Dragon's Breath Rate Of Fire Increase III	Aumento cadenza di tiro di Soffio del Drago III
Dread Momentum	Slancio terrificante
Dreadhorn Charge	Carica del Cornispavento
Dreadhorn's Edge	Filo del Cornispavento
Duelist of the Gloam	Duellante del crepuscolo
Earth Shattering Might	Possanza spaccaterra
Earth Speaker's Voice	Voce dell'oratore della terra
Earthshaker’s Followthrough	Slancio dello Scuotiterra
Earthspeaker's Shadow	Ombra dell'oratore della terra
Echo Rift Refresh Increase I	Aumento rimborso recupero di Fenditura d'eco I
Echo Rift Refresh Increase II	Aumento rimborso recupero di Fenditura d'eco II
Echo Rift Refresh Increase III	Aumento rimborso recupero di Fenditura d'eco III
Echoed Backstep	Passo indietro Riecheggiato
Echoed Mutilation	Mutilazione Riecheggiata
Echoed Onslaught	Assalto Riecheggiato
Echoed Rift	Fenditura Riecheggiata
Echoed Void	Vuoto Riecheggiato
Echoes of Mutilation Hit Increase I	Aumento colpi di Echi di mutilazione I
Echoes of Mutilation Hit Increase II	Aumento colpi di Echi di mutilazione II
Echoes of Mutilation Hit Increase III	Aumento colpi di Echi di mutilazione III
Echoes of Mutilation Max Stacks Converted Increase I	Aumento cariche massime convertite di Echi di mutilazione I
Echoes of Mutilation Max Stacks Converted Increase II	Aumento cariche massime convertite di Echi di mutilazione II
Echoes of Mutilation Max Stacks Converted Increase III	Aumento cariche massime convertite di Echi di mutilazione III
Echoing Backstep	Passo indietro Echeggiante
Echoing Mutilation	Mutilazione Echeggiante
Echoing Onslaught	Assalto Echeggiante
Echoing Rift	Fenditura Echeggiante
Echoing Spike	Spina Echeggiante
Echoing Void	Vuoto Echeggiante
Effect Milestone Modifier	modificatore della soglia effetto
Elven Form	Forma elfica
Elven Martial Flow	Flusso marziale elfico
Emberborne Adept	Adepto nato dalla brace
Emberecho	Eco di brace
Emberhorn Frenzy	Frenesia del corno di brace
Enraging Boulder	Masso Infuriante
Enraging Boulder Increase I	Aumento Masso Infuriante I
Enraging Boulder Increase II	Aumento Masso Infuriante II
Enraging Boulder Increase III	Aumento Masso Infuriante III
Enraging Charge	Carica Infuriante
Enraging Charge Increase I	Aumento Carica Infuriante I
Enraging Charge Increase II	Aumento Carica Infuriante II
Enraging Charge Increase III	Aumento Carica Infuriante III
Enraging Cleave	Fendente Infuriante
Enraging Frenzy	Frenesia Infuriante
Enraging Hook	Gancio Infuriante
Enraging Jab	Jab Infuriante
Enraging Jab Increase I	Aumento Jab Infuriante I
Enraging Jab Increase II	Aumento Jab Infuriante II
Enraging Jab Increase III	Aumento Jab Infuriante III
Enraging Pulverize	Polverizza Infuriante
Enraging Quake	Sisma Infuriante
Enraging Retaliation	Rappresaglia Infuriante
Enraging Stampede	Carica travolgente Infuriante
Enraging Straight	Diretto Infuriante
Enraging Strike	Colpo Infuriante
Enraging Vortex	Vortice Infuriante
Envenomed Aim	Mira avvelenata
Envenoming Arrow	Freccia Avvelenante
Envenoming Contagion	Contagio Avvelenante
Envenoming Dance	Danza Avvelenante
Envenoming Outbreak	Epidemia Avvelenante
Envenoming Shards	Frammenti Avvelenante
Envenoming Swap	Cambio Avvelenante
Etherbound Whisper	Sussurro vincolato all'etere
Ethereal Weaver	Tessitore etereo
Etherstride	Falcata d'etere
Executing Backstep	Passo indietro esecutore
Executing Cleave	Fendente esecutore
Executing Pulverize	Polverizza esecutore
Expansive Mutilation	Mutilazione espansiva
Expansive Stampede	Carica travolgente espansiva
Explosive Impact	Impatto esplosivo
Fan Of Bolts	Ventaglio di dardi
Fan of Daggers	Ventaglio di pugnali
Fell Precision	Precisione funesta
Fighting Fervour	Fervore combattivo
Finesse of the Graced	Finezza dei favoriti
Fire Apprentice	Apprendista del Fuoco
Firepit Inferno	Inferno delle fosse ardenti
Firestorm	Tempesta di fuoco
Fist of the Stonebreakers	Pugno degli Spaccapietre
Flaring Dragon	Drago Fiammeggiante
Flaring Fireball	Palla di fuoco Fiammeggiante
Flaring Inferno	Inferno Fiammeggiante
Flashheating Fireball	Palla di fuoco Incandescente
Flashheating Fireball Conversion Increase I	Aumento conversione di Palla di fuoco Incandescente I
Flashheating Fireball Conversion Increase II	Aumento conversione di Palla di fuoco Incandescente II
Flashheating Fireball Conversion Increase III	Aumento conversione di Palla di fuoco Incandescente III
Flashheating Glide	Scivolata Incandescente
Flashheating Inferno	Inferno Incandescente
Flashheating Javelin	Giavellotto Incandescente
Flickering Vanish	Dissolvenza intermittente
Focused Contagion	Contagio Focalizzato
Focused Eruption	Eruzione Focalizzata
Focused Hook	Gancio Focalizzato
Focused Onslaught	Assalto Focalizzato
Focused Quake	Sisma Focalizzato
Focused Rift	Fenditura Focalizzata
Focused Stampede	Carica travolgente Focalizzata
Focused Void	Vuoto Focalizzato
Follow Up	Colpo successivo
Fracture Point	Punto di frattura
Fractured Rift	Fenditura fratturata
Fracturing Blizzard	Tormenta Fratturante
Fracturing Javelin	Giavellotto Fratturante
Fracturing Surge	Ondata Fratturante
Frenzy Rage Gain Increase I	Aumento Furia ottenuta con Frenesia I
Frenzy Rage Gain Increase II	Aumento Furia ottenuta con Frenesia II
Frenzy Rage Gain Increase III	Aumento Furia ottenuta con Frenesia III
Frost Acolyte	Accolito del Gelo
Frost Focused Precision	Precisione focalizzata sul gelo
Frost Focused Pursuer	Inseguitore focalizzato sul gelo
Frost Glide Extra Charge	Carica extra di Scivolata gelida
Frost Glide Speed Increase I	Aumento velocità di Scivolata gelida I
Frost Glide Speed Increase II	Aumento velocità di Scivolata gelida II
Frost Glide Speed Increase III	Aumento velocità di Scivolata gelida III
Frost Javelin Max Consume Increase I	Aumento consumo massimo di Giavellotto gelido I
Frost Javelin Max Consume Increase II	Aumento consumo massimo di Giavellotto gelido II
Frost Javelin Max Consume Increase III	Aumento consumo massimo di Giavellotto gelido III
Frost Javelin Stun Build-up Increase I	Aumento Accumulo di stordimento di Giavellotto gelido I
Frost Javelin Stun Build-up Increase II	Aumento Accumulo di stordimento di Giavellotto gelido II
Frost Javelin Stun Build-up Increase III	Aumento Accumulo di stordimento di Giavellotto gelido III
Frost Ranger's Determination	Determinazione del ranger del gelo
Frost-armored Hide	Pelle corazzata di gelo
Frostbinder	Vincolatore del gelo
Frostbinding Blizzard	Tormenta del vincolo gelido
Frostbinding Blizzard Increase I	Aumento Tormenta del vincolo gelido I
Frostbinding Blizzard Increase II	Aumento Tormenta del vincolo gelido II
Frostbinding Blizzard Increase III	Aumento Tormenta del vincolo gelido III
Frostbinding Glide	Scivolata del vincolo gelido
Frostbinding Glide Increase I	Aumento Scivolata del vincolo gelido I
Frostbinding Glide Increase II	Aumento Scivolata del vincolo gelido II
Frostbinding Glide Increase III	Aumento Scivolata del vincolo gelido III
Frostdraw	Tiro gelido
Frostfire Javelin	Giavellotto di fuoco gelido
Frostfire Javelin Increase I	Aumento Giavellotto di fuoco gelido I
Frostfire Javelin Increase II	Aumento Giavellotto di fuoco gelido II
Frostfire Javelin Increase III	Aumento Giavellotto di fuoco gelido III
Frostforged Might	Possanza Forgiata dal Gelo
Furious Strike Health Cost Reduction I	Riduzione costo in Salute di Colpo furioso I
Furious Strike Health Cost Reduction II	Riduzione costo in Salute di Colpo furioso II
Furious Strike Health Cost Reduction III	Riduzione costo in Salute di Colpo furioso III
Furnaceheart	Cuore di fornace
Glacial Glide	Scivolata glaciale
Glacial Weave	Trama glaciale
Gloomquick Draw	Estrazione rapida d'ombra
Gorespreader	Spargisangue
Goring Frenzy	Frenesia delle incornate
Grinding Stoneblood	Sangue di pietra abrasivo
Hail Of Arrows Damage Increase I	Aumento danno di Pioggia di Frecce I
Hail Of Arrows Damage Increase II	Aumento danno di Pioggia di Frecce II
Hail Of Arrows Damage Increase III	Aumento danno di Pioggia di Frecce III
Hail Of Arrows Rate Of Fire Increase I	Aumento cadenza di tiro di Pioggia di Frecce I
Hail Of Arrows Rate Of Fire Increase II	Aumento cadenza di tiro di Pioggia di Frecce II
Hail Of Arrows Rate Of Fire Increase III	Aumento cadenza di tiro di Pioggia di Frecce III
Hail Of Arrows Status Increase I	Aumento stato di Pioggia di Frecce I
Hail Of Arrows Status Increase II	Aumento stato di Pioggia di Frecce II
Hail Of Arrows Status Increase III	Aumento stato di Pioggia di Frecce III
Hand-placed Trap	Trappola piazzata a mano
Harvesting Charge	Carica Mietente
Harvesting Charge Increase I	Aumento Carica Mietente I
Harvesting Charge Increase II	Aumento Carica Mietente II
Harvesting Charge Increase III	Aumento Carica Mietente III
Harvesting Cleave	Fendente Mietente
Harvesting Convergence	Convergenza Mietente
Harvesting Daggers	Pugnali Mietente
Harvesting Dance	Danza Mietente
Harvesting Dance Damage Increase I	Aumento danno di Danza Mietente I
Harvesting Dance Damage Increase II	Aumento danno di Danza Mietente II
Harvesting Dance Damage Increase III	Aumento danno di Danza Mietente III
Harvesting Frenzy	Frenesia Mietente
Harvesting Mutilation	Mutilazione Mietente
Harvesting Onslaught	Assalto Mietente
Harvesting Outbreak	Epidemia Mietente
Harvesting Pulverize	Polverizza Mietente
Harvesting Quake	Sisma Mietente
Harvesting Stampede	Carica travolgente Mietente
Harvesting Straight	Diretto Mietente
Harvesting Strike	Colpo Mietente
Harvesting Swap	Cambio Mietente
Harvesting Trap	Trappola Mietente
Harvesting Vanish	Dissolvenza Mietente
Harvesting Vortex	Vortice Mietente
Harvesting Wave	Onda Mietente
Heat Vision Sight	Mira termica
Heavy Javelin	Giavellotto pesante
Hero's Turn	Giravolta dell'eroe
Hot-blooded Hunter	Cacciatore dal sangue caldo
Human Endurance	Resistenza umana
Hunter's Trap Cooldown Reduction I	Riduzione recupero di Trappola del Cacciatore I
Hunter's Trap Cooldown Reduction II	Riduzione recupero di Trappola del Cacciatore II
Hunter's Trap Cooldown Reduction III	Riduzione recupero di Trappola del Cacciatore III
Hunter's Trap Damage Increase I	Aumento danno di Trappola del Cacciatore I
Hunter's Trap Damage Increase II	Aumento danno di Trappola del Cacciatore II
Hunter's Trap Damage Increase III	Aumento danno di Trappola del Cacciatore III
Hunter's Trap Stun Build-up I	Accumulo di stordimento di Trappola del Cacciatore I
Hunter's Trap Stun Build-up II	Accumulo di stordimento di Trappola del Cacciatore II
Hunter's Trap Stun Build-up III	Accumulo di stordimento di Trappola del Cacciatore III
Igniting Fireball	Palla di fuoco incendiaria
Igniting Fireball Increase I	Aumento Palla di fuoco incendiaria I
Igniting Fireball Increase II	Aumento Palla di fuoco incendiaria II
Igniting Fireball Increase III	Aumento Palla di fuoco incendiaria III
Inferno	Inferno
Inferno Max Consume Increase I	Aumento consumo massimo di Inferno I
Inferno Max Consume Increase II	Aumento consumo massimo di Inferno II
Inferno Max Consume Increase III	Aumento consumo massimo di Inferno III
Inoculated Contagion	Contagio inoculato
Inoculated Hail	Grandine inoculata
Inoculated Hide	Pelle inoculata
Inoculated Outbreak	Epidemia inoculata
Inoculated Shards	Frammenti inoculati
Inoculated Trap	Trappola inoculata
Inoculated Wave	Onda inoculata
Inoculating Arrow	Freccia Inoculante
Inoculating Contagion	Contagio Inoculante
Inoculating Dance	Danza Inoculante
Inoculating Hail	Grandine Inoculante
Inoculating Outbreak	Epidemia Inoculante
Inoculating Shards	Frammenti Inoculante
Inoculating Wave	Onda Inoculante
Inverting Retaliation	Rappresaglia invertente
Ironhorn Soldier	Soldato dal corno di ferro
Kindling Fireball	Palla di fuoco d'Innesco
Limitless Onslaught Cost Decrease I	Riduzione costo di Assalto illimitato I
Limitless Onslaught Cost Decrease II	Riduzione costo di Assalto illimitato II
Lingering Blade	Lama persistente
Lingering Contagion	Contagio persistente
Lingering Frenzy	Frenesia persistente
Lingering Rupture	Lacerazione persistente
Lingering Shards	Frammenti persistenti
Long Shot	Tiro lungo
Lord of Cinders	Signore delle braci
Magma Cadence	Cadenza magmatica
Many-Cut Phantom	Fantasma dai Molti Tagli
Manyfold Convergence	Convergenza molteplice
Marked in Silence	Marchiato nel silenzio
Master of Afflictions	Maestro delle afflizioni
Master of Ice	Maestro del Ghiaccio
Master of the Temporal Domain	Maestro del dominio temporale
Mastery	Maestria
Max Inoculation	Inoculazione max
Max Shadow Clone Count	Numero massimo di Cloni d'ombra
Minotaur Blood	Sangue di Minotauro
Momentous Return	Ritorno impetuoso
Momentum Kill	Uccisione di slancio
Nightveil Toxins	Tossine del velo notturno
Numbing Convergence	Convergenza intorpidente
Numbing Convergence Increase I	Aumento Convergenza intorpidente I
Numbing Convergence Increase II	Aumento Convergenza intorpidente II
Numbing Convergence Increase III	Aumento Convergenza intorpidente III
Oil Boulder	Masso d'olio
Opened Vein	Vena aperta
Outbreak Poison Consumption Increase I	Aumento consumo Veleno di Epidemia I
Outbreak Poison Consumption Increase II	Aumento consumo Veleno di Epidemia II
Outbreak Poison Consumption Increase III	Aumento consumo Veleno di Epidemia III
Outbreak Radius Increase I	Aumento raggio di Epidemia I
Outbreak Radius Increase II	Aumento raggio di Epidemia II
Outbreak Radius Increase III	Aumento raggio di Epidemia III
Palm of the Stonebreakers	Palmo degli Spaccapietre
Pandemic Cloud	Nube pandemica
Percussive Rush	Impeto percussivo
Pestilent Precision	Precisione pestilenziale
Phantom Sharpshooter	Tiratore scelto fantasma
Phasing Convergence	Convergenza Sfasata
Piercing Daggers	Pugnali penetranti
Piercing Fireball	Palla di fuoco penetrante
Piercing Javelin	Giavellotto penetrante
Pinning Hail	Grandine bloccante
Plague Initiate	Iniziato della peste
Plague Shards Range Increase I	Aumento portata di Frammenti di peste I
Plague Shards Range Increase II	Aumento portata di Frammenti di peste II
Plague Shards Range Increase III	Aumento portata di Frammenti di peste III
Plague Shards Subsequent Hit Damage Increase I	Aumento danno colpi successivi di Frammenti di peste I
Plague Shards Subsequent Hit Damage Increase II	Aumento danno colpi successivi di Frammenti di peste II
Plague Shards Subsequent Hit Damage Increase III	Aumento danno colpi successivi di Frammenti di peste III
Plague Vector	Vettore della peste
Plaguebringer	Portatore di peste
Poison Tipped Ranger	Ranger dalle punte avvelenate
Power Hook Stun Build-up Increase I	Aumento Accumulo di stordimento di Gancio potente I
Power Hook Stun Build-up Increase II	Aumento Accumulo di stordimento di Gancio potente II
Power Hook Stun Build-up Increase III	Aumento Accumulo di stordimento di Gancio potente III
Precision	Precisione
Prizefighter	Pugile professionista
Projected Pulverize	Polverizza proiettato
Pulverize Cost Decrease I	Riduzione costo di Polverizza I
Pulverize Rage Capacity Increase I	Aumento capacità di Furia di Polverizza I
Pulverize Rage Capacity Increase II	Aumento capacità di Furia di Polverizza II
Pulverize Rage Efficiency I	Efficienza della Furia di Polverizza I
Pulverize Rage Efficiency II	Efficienza della Furia di Polverizza II
Punishing Straight	Diretto punitivo
Purging Arrow	Freccia Purgante
Purging Contagion	Contagio Purgante
Purging Hail	Grandine Purgante
Purging Outbreak	Epidemia Purgante
Purging Shards	Frammenti Purgante
Purging Trap	Trappola Purgante
Purging Vanish	Dissolvenza Purgante
Purging Wave	Onda Purgante
Pursuing Backstep	Passo indietro inseguitore
Pursuing Blizzard	Tormenta inseguitrice
Pursuing Mutilation	Mutilazione inseguitrice
Quaking Shade	Ombra sismica
Quick Jab Increase Charges I	Aumento cariche di Jab rapido I
Quick Jab Increase Charges II	Aumento cariche di Jab rapido II
Quick Jab Physical Boost Increase I	Aumento bonus fisico di Jab rapido I
Quick Jab Physical Boost Increase II	Aumento bonus fisico di Jab rapido II
Quick Jab Physical Boost Increase III	Aumento bonus fisico di Jab rapido III
Quick Strikes	Colpi rapidi
Quick Trap	Trappola rapida
Quickened Shadow	Ombra accelerata
Rage-bound Fighter	Combattente vincolato alla furia
Raging Boulder	Masso Furente
Raging Boulder Increase I	Aumento Masso Furente I
Raging Boulder Increase II	Aumento Masso Furente II
Raging Boulder Increase III	Aumento Masso Furente III
Raging Bull	Toro Furente
Raging Charge	Carica Furente
Raging Charge Increase I	Aumento Carica Furente I
Raging Charge Increase II	Aumento Carica Furente II
Raging Charge Increase III	Aumento Carica Furente III
Raging Cleave	Fendente Furente
Raging Frenzy	Frenesia Furente
Raging Hook	Gancio Furente
Raging Jab	Jab Furente
Raging Jab Increase I	Aumento Jab Furente I
Raging Jab Increase II	Aumento Jab Furente II
Raging Jab Increase III	Aumento Jab Furente III
Raging Pulverize	Polverizza Furente
Raging Quake	Sisma Furente
Raging Stampede	Carica travolgente Furente
Raging Straight	Diretto Furente
Raging Vortex	Vortice Furente
Rapid Embers	Braci rapide
Rapid Quake	Sisma rapido
Ravenous Cascade	Cascata vorace
Rebounding Dance	Danza rimbalzante
Receding Rift	Fenditura recedente
Recovering Strike	Colpo ristoratore
Refreezing Glide	Scivolata ricongelante
Relentless Convergence	Convergenza implacabile
Remote Dragon	Drago remoto
Remote Pulverize	Polverizza remoto
Remote Stampede	Carica travolgente remota
Rending Arrow	Freccia Lacerante
Rending Backstep	Passo indietro Lacerante
Rending Charge	Carica Lacerante
Rending Charge Increase I	Aumento Carica Lacerante I
Rending Charge Increase II	Aumento Carica Lacerante II
Rending Charge Increase III	Aumento Carica Lacerante III
Rending Cleave	Fendente Lacerante
Rending Convergence	Convergenza Lacerante
Rending Daggers	Pugnali Lacerante
Rending Frenzy	Frenesia Lacerante
Rending Hail	Grandine Lacerante
Rending Hook	Gancio Lacerante
Rending Mutilation	Mutilazione Lacerante
Rending Onslaught	Assalto Lacerante
Rending Pulverize	Polverizza Lacerante
Rending Quake	Sisma Lacerante
Rending Spike	Spina Lacerante
Rending Strike	Colpo Lacerante
Rending Swap	Cambio Lacerante
Rending Time	Tempo Lacerante
Rending Trap	Trappola Lacerante
Rending Vanish	Dissolvenza Lacerante
Rending Void	Vuoto Lacerante
Rending Wave	Onda Lacerante
Renowned Hunter	Cacciatore rinomato
Repeating Backstep	Passo indietro ripetuto
Repeating Cleave	Fendente ripetuto
Repeating Mutilation	Mutilazione ripetuta
Repeating Strike	Colpo ripetuto
Repeating Vortex	Vortice ripetuto
Resonance Seeker	Cercatore di risonanza
Retreating Mutilation	Mutilazione in ritirata
Returning Wave	Onda di ritorno
Reverse Quake	Sisma inverso
Reversing Spike	Spina invertente
Reversing Spike Increase I	Aumento Spina invertente I
Reversing Spike Increase II	Aumento Spina invertente II
Reversing Spike Increase III	Aumento Spina invertente III
Rimebound Stride	Falcata vincolata alla brina
Rimehold Precision	Precisione della presa di brina
Rot of Ages	Marciume delle ere
Rotseeker's Eye	Occhio del cercatore di marciume
Scatter Trap	Trappola dispersiva
Scattering Onslaught	Assalto dispersivo
Scorched Earth Hunter	Cacciatore della terra bruciata
Sealed Void	Vuoto sigillato
Seismic Stampede Stun Build-up Increase I	Aumento Accumulo di stordimento di Carica sismica I
Seismic Stampede Stun Build-up Increase II	Aumento Accumulo di stordimento di Carica sismica II
Seismic Stampede Stun Build-up Increase III	Aumento Accumulo di stordimento di Carica sismica III
Septic Duelist	Duellante settico
Serrated Volley	Salva seghettata
Severing Convergence	Convergenza recidente
Shade of Echoes	Ombra degli echi
Shadow Convergence Clone Damage Increase I	Aumento danno cloni di Convergenza d'ombra I
Shadow Convergence Clone Damage Increase II	Aumento danno cloni di Convergenza d'ombra II
Shadow Convergence Clone Damage Increase III	Aumento danno cloni di Convergenza d'ombra III
Shadow Daggers Cost Decrease I	Riduzione costo di Pugnali d'ombra I
Shadow Daggers Linger Increase I	Aumento permanenza di Pugnali d'ombra I
Shadow Daggers Linger Increase II	Aumento permanenza di Pugnali d'ombra II
Shadow Daggers Linger Increase III	Aumento permanenza di Pugnali d'ombra III
Shadow Initiate	Iniziato dell'Ombra
Shatter Dancer	Danzatore della frantumazione
Shattering Blizzard	Tormenta Frantumante
Shattering Boulder	Masso Frantumante
Shattering Glide	Scivolata Frantumante
Shattering Javelin	Giavellotto Frantumante
Shielding Inferno	Inferno schermante
Shredding Dance	Danza dilaniante
Sight of the Bloodbull	Vista del Toro Sanguinario
Silent Alacrity	Alacrità silenziosa
Skullbreaker's Toll	Rintocco dello Spaccacrani
Slicing Counter	Contrattacco Tagliente
Slipstream Cantor	Cantore della scia
Soft Inferno	Inferno attenuato
Splintering Javelin	Giavellotto scheggiante
Splintering Javelin Increase I	Aumento Giavellotto scheggiante I
Splintering Javelin Increase II	Aumento Giavellotto scheggiante II
Splintering Javelin Increase III	Aumento Giavellotto scheggiante III
Splintering Shards	Frammenti scheggianti
Splintering Strike	Colpo scheggiante
Splitting Javelin	Giavellotto Scindente
Splitting Spike	Spina Scindente
Splitting Wave	Onda Scindente
Stable Vortex	Vortice stabile
Steady Blizzard	Tormenta costante
Steady Javelin	Giavellotto costante
Steady Pulverize	Polverizza costante
Steady Straight	Diretto costante
Straight Lunge	Affondo diretto
Strider's Cadence	Cadenza del viandante
Striking Hook	Gancio tagliente
Striking Pulverize	Polverizza tagliente
Strong Straight Charge Speed Increase I	Aumento velocità di carica di Diretto potente I
Strong Straight Charge Speed Increase II	Aumento velocità di carica di Diretto potente II
Support Versatility	Versatilità di supporto
Surged Backstep	Passo indietro Montante
Surged Onslaught	Assalto Montante
Surged Rift	Fenditura Montante
Surged Void	Vuoto Montante
Surging Onslaught	Assalto Montante
Surging Rift	Fenditura Montante
Surging Spike	Spina Montante
Surging Void	Vuoto Montante
Surprising Shot	Tiro a sorpresa
Sweeping Dance	Danza spazzante
Sweeping Hook	Gancio spazzante
Swiftblade Stalker	Cacciatore dalla lama rapida
Swiftcaster	Incantatore rapido
Tactical Precision	Precisione tattica
Temporal Echo Power	Potenza dell'Eco temporale
Temporal Force	Forza temporale
Temporal Novice	Novizio temporale
Temporal Stacks	cariche temporali
Terminal Bloom	Fioritura terminale
Thousand Cuts	Mille tagli
